id,name_de,name_en,name_es,emoji
cat_01,Herbaceous forages,Herbaceous forages,Herbaceous forages,🌿
cat_02,Fodder trees & shrubs,Fodder trees & shrubs,Fodder trees & shrubs,🌳
cat_03,Cereal/legume residues,Cereal/legume residues,Cereal/legume residues,🌾
cat_04,Roots & tubers,Roots & tubers,Roots & tubers,🥔
cat_05,Mineral supplements,Mineral supplements,Mineral supplements,⚙️
