"Reference","Feed name","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"112411","Clover (T. rueppellianum)","93.42","","","","10.13","86.02","","","","","","","","","","","","","","","Ethiopia"
"112412","Clover (T. rueppellianum)","94.15","","36.48","","22.50","91.82","","","","","","","","","","73.68","10.96","7.15","4.60","6.90","Ethiopia"
"112413","Clover (T. rueppellianum)","92.14","","","","7.94","","","","","","","","","","","","","","","","Ethiopia"
"112414","Clover (T. rueppellianum)","95.98","","50.06","","7.38","90.89","","","","","","","","","","67.70","10.04","6.36","3.85","6.28","Ethiopia"
"112415","Clover (T. rueppellianum)","94.22","","19.79","","23.44","89.62","","","","","","","","","","84.65","12.18","8.20","5.48","7.74","Ethiopia"
"112416","Clover (T. rueppellianum)","93.44","","","","9.06","","","","","","","","","","","","","","","","Ethiopia"
"112419","Clover (T. rueppellianum)","94.03","","36.84","","19.31","91.81","","","","","","","","","","71.40","10.67","6.90","4.35","6.69","Ethiopia"
"112701","Clover (T. rueppellianum)","89.79","27.49","29.48","4.44","29.75","84.96","","","","","","","","","","","","","","","Ethiopia"
"112702","Clover (T. rueppellianum)","90.30","29.31","33.55","5.55","28.56","83.81","","","","","","","","","","","","","","","Ethiopia"
"112703","Clover (T. rueppellianum)","90.26","30.29","34.22","5.58","30.38","84.90","","","","","","","","","","","","","","","Ethiopia"
"112704","Clover (T. rueppellianum)","90.08","31.52","36.41","6.73","29.31","84.74","","","","","","","","","","","","","","","Ethiopia"
"112705","Clover (T. rueppellianum)","89.88","27.83","30.83","4.58","29.63","87.33","","","","","","","","","","","","","","","Ethiopia"
"112706","Clover (T. rueppellianum)","89.87","27.31","33.89","3.96","29.19","87.19","","","","","","","","","","","","","","","Ethiopia"
"112707","Clover (T. rueppellianum)","89.88","27.05","28.88","4.19","29.56","87.47","","","","","","","","","","","","","","","Ethiopia"
"112708","Clover (T. rueppellianum)","90.03","24.49","26.89","3.32","28.50","87.89","","","","","","","","","","","","","","","Ethiopia"
"112709","Clover (T. rueppellianum)","90.01","28.54","31.32","4.78","20.81","86.48","","","","","","","","","","","","","","","Ethiopia"
"112710","Clover (T. rueppellianum)","90.17","28.20","32.83","4.59","20.50","86.58","","","","","","","","","","","","","","","Ethiopia"
"112711","Clover (T. rueppellianum)","90.14","25.54","29.68","4.19","20.88","87.74","","","","","","","","","","","","","","","Ethiopia"
"112712","Clover (T. rueppellianum)","89.27","26.24","29.42","4.62","20.88","87.84","","","","","","","","","","","","","","","Ethiopia"
"112751","Clover (T. rueppellianum)","89.20","46.52","47.58","6.83","13.25","84.97","","","","","","","","","","","","","","","Ethiopia"
