"Reference","Feed name","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"56288","Sweet potato stem + vines","92.29","19.79","26.41","2.77","23.82","85.47","","","","","20.70","","","","","73.68","10.17","6.44","3.97","6.36","Rwanda"
"56289","Sweet potato stem + vines","92.50","23.56","34.12","4.60","18.16","87.69","","","","","21.50","","","","","72.89","10.33","6.61","4.10","6.49","Rwanda"
"56290","Sweet potato stem + vines","92.10","21.46","31.51","4.18","22.33","88.97","","","","","17.80","","","","","73.16","10.54","6.78","4.27","6.61","Rwanda"
"56291","Sweet potato stem + vines","92.32","19.52","26.07","4.03","26.20","81.11","","","","","33.00","","","","","72.48","9.46","5.82","3.39","5.86","Rwanda"
"56292","Sweet potato stem + vines","92.37","24.18","32.80","4.22","18.86","88.20","","","","","17.80","","","","","73.06","10.42","6.69","4.18","6.53","Rwanda"
"56293","Sweet potato stem + vines","92.43","20.12","27.08","3.22","22.61","83.77","","","","","30.90","","","","","73.94","9.96","6.28","3.81","6.19","Rwanda"
"56294","Sweet potato stem + vines","92.71","22.37","31.39","3.86","20.08","85.44","","","","","27.20","","","","","70.98","9.79","6.11","3.68","6.11","Rwanda"
"56295","Sweet potato stem + vines","92.55","21.84","31.03","3.47","20.95","87.25","","","","","20.30","","","","","72.73","10.25","6.53","4.02","6.40","Rwanda"
"56296","Sweet potato stem + vines","91.55","26.39","36.84","5.35","16.53","85.89","","","","","35.70","","","","","70.24","9.75","6.11","3.64","6.07","Rwanda"
"56297","Sweet potato stem + vines","92.05","22.71","29.89","4.29","21.02","82.87","","","","","29.90","","","","","71.10","9.46","5.82","3.39","5.86","Rwanda"
"56298","Sweet potato stem + vines","92.37","21.44","30.57","3.71","21.41","84.85","","","","","27.60","","","","","72.69","9.96","6.28","3.81","6.19","Rwanda"
"56299","Sweet potato stem + vines","92.38","23.02","31.86","3.69","20.02","87.06","","","","","23.00","","","","","72.22","10.17","6.44","3.97","6.36","Rwanda"
"56300","Sweet potato stem + vines","93.00","23.36","31.30","4.42","21.50","84.55","","","","","25.90","","","","","71.67","9.79","6.11","3.68","6.11","Rwanda"
"56301","Sweet potato stem + vines","91.96","23.35","33.21","5.09","19.12","86.17","","","","","23.80","","","","","70.44","9.83","6.15","3.68","6.11","Rwanda"
"56302","Sweet potato stem + vines","92.07","23.03","34.18","4.90","20.77","87.79","","","","","19.30","","","","","70.31","10.00","6.32","3.85","6.23","Rwanda"
"56303","Sweet potato stem + vines","93.05","21.69","31.64","4.90","21.53","84.57","","","","","27.10","","","","","68.30","9.33","5.73","3.31","5.77","Rwanda"
